"constraint_name","table_name","column_name"
"committees_chairperson_id_fkey","committees","tablename"
"committees_chairperson_id_fkey","committees","relation"
"committees_chairperson_id_fkey","committees","is_holdable"
"committees_chairperson_id_fkey","committees","installed_version"
"committees_chairperson_id_fkey","committees","installed"
"committees_chairperson_id_fkey","committees","prepared"
"committees_chairperson_id_fkey","committees","prepare_time"
"committees_chairperson_id_fkey","committees","objsubid"
"committees_chairperson_id_fkey","committees","unit"
"committees_chairperson_id_fkey","committees","seqno"
"committees_chairperson_id_fkey","committees","database"
"committees_chairperson_id_fkey","committees","is_dst"
"committees_chairperson_id_fkey","committees","utc_offset"
"committees_chairperson_id_fkey","committees","size"
"committees_chairperson_id_fkey","committees","parent"
"committees_chairperson_id_fkey","committees","relname"
"committees_chairperson_id_fkey","committees","relname"
"committees_chairperson_id_fkey","committees","relname"
"committees_chairperson_id_fkey","committees","relname"
"committees_chairperson_id_fkey","committees","relname"
"committees_chairperson_id_fkey","committees","relname"
"committees_chairperson_id_fkey","committees","relname"
"committees_chairperson_id_fkey","committees","relname"
"committees_chairperson_id_fkey","committees","relname"
"committees_chairperson_id_fkey","committees","schemaname"
"committees_chairperson_id_fkey","committees","schemaname"
"committees_chairperson_id_fkey","committees","schemaname"
"committees_chairperson_id_fkey","committees","schemaname"
"committees_chairperson_id_fkey","committees","schemaname"
"committees_chairperson_id_fkey","committees","schemaname"
"committees_chairperson_id_fkey","committees","relname"
"committees_chairperson_id_fkey","committees","relname"
"committees_chairperson_id_fkey","committees","relname"
"committees_chairperson_id_fkey","committees","pid"
"committees_chairperson_id_fkey","committees","usename"
"committees_chairperson_id_fkey","committees","blks_hit"
"committees_chairperson_id_fkey","committees","receive_start_lsn"
"committees_chairperson_id_fkey","committees","pid"
"committees_chairperson_id_fkey","committees","version"
"committees_chairperson_id_fkey","committees","principal"
"committees_chairperson_id_fkey","committees","slot_type"
"committees_chairperson_id_fkey","committees","spill_count"
"committees_chairperson_id_fkey","committees","numbackends"
"committees_chairperson_id_fkey","committees","confl_tablespace"
"committees_chairperson_id_fkey","committees","funcname"
"committees_chairperson_id_fkey","committees","funcname"
"committees_chairperson_id_fkey","committees","last_archived_time"
"committees_chairperson_id_fkey","committees","checkpoint_write_time"
"committees_chairperson_id_fkey","committees","wal_bytes"
"committees_chairperson_id_fkey","committees","datname"
"committees_chairperson_id_fkey","committees","datname"
"committees_chairperson_id_fkey","committees","datname"
"committees_chairperson_id_fkey","committees","datname"
"committees_chairperson_id_fkey","committees","backup_total"
"committees_chairperson_id_fkey","committees","datname"
"committees_chairperson_id_fkey","committees","srvname"
"committees_chairperson_id_fkey","committees","remote_lsn"
"committees_chairperson_id_fkey","committees","subname"
"committees_chairperson_id_fkey","committees","is_grantable"
"committees_chairperson_id_fkey","committees","is_grantable"
"committees_chairperson_id_fkey","committees","udt_name"
"committees_chairperson_id_fkey","committees","character_set_name"
"committees_chairperson_id_fkey","committees","constraint_name"
"committees_chairperson_id_fkey","committees","constraint_name"
"committees_chairperson_id_fkey","committees","collation_name"
"committees_chairperson_id_fkey","committees","collation_name"
"committees_chairperson_id_fkey","committees","table_name"
"committees_chairperson_id_fkey","committees","domain_name"
"committees_chairperson_id_fkey","committees","table_catalog"
"committees_chairperson_id_fkey","committees","udt_name"
"committees_chairperson_id_fkey","committees","table_name"
"committees_chairperson_id_fkey","committees","table_name"
"committees_chairperson_id_fkey","committees","table_name"
"committees_chairperson_id_fkey","committees","constraint_name"
"committees_chairperson_id_fkey","committees","udt_name"
"committees_chairperson_id_fkey","committees","domain_name"
"committees_chairperson_id_fkey","committees","constraint_name"
"committees_chairperson_id_fkey","committees","specific_name"
"committees_chairperson_id_fkey","committees","constraint_name"
"committees_chairperson_id_fkey","committees","table_catalog"
"committees_chairperson_id_fkey","committees","specific_name"
"committees_chairperson_id_fkey","committees","specific_catalog"
"committees_chairperson_id_fkey","committees","specific_catalog"
"committees_chairperson_id_fkey","committees","specific_name"
"committees_chairperson_id_fkey","committees","specific_name"
"committees_chairperson_id_fkey","committees","specific_name"
"committees_chairperson_id_fkey","committees","specific_name"
"committees_chairperson_id_fkey","committees","schema_owner"
"committees_chairperson_id_fkey","committees","sequence_name"
"committees_chairperson_id_fkey","committees","sub_feature_id"
